number	link	level	title	classitication	solved	avg_attempt
1350	https://www.acmicpc.net/problem/1350	Bronze II	진짜 공간	수학	1367	3.18
1373	https://www.acmicpc.net/problem/1373	Bronze II	2진수 8진수	수학	4149	2.6
1434	https://www.acmicpc.net/problem/1434	Bronze II	책 정리	수학	53	2.68
1551	https://www.acmicpc.net/problem/1551	Bronze II	수열의 변화	수학	1180	1.83
1592	https://www.acmicpc.net/problem/1592	Bronze II	영식이와 친구들	수학	1314	1.57
1731	https://www.acmicpc.net/problem/1731	Bronze II	추론	수학	741	1.81
1773	https://www.acmicpc.net/problem/1773	Bronze II	폭죽쇼	수학	1342	1.99
2153	https://www.acmicpc.net/problem/2153	Bronze II	소수 단어	수학	1196	2.25
2292	https://www.acmicpc.net/problem/2292	Bronze II	벌집	수학	17909	2.16
2408	https://www.acmicpc.net/problem/2408	Bronze II	큰 수 계산	수학	92	2.2
2484	https://www.acmicpc.net/problem/2484	Bronze II	주사위 네개	수학	1018	2.34
2577	https://www.acmicpc.net/problem/2577	Bronze II	숫자의 개수	수학	31250	1.62
2587	https://www.acmicpc.net/problem/2587	Bronze II	대표값2	수학	3384	1.46
2592	https://www.acmicpc.net/problem/2592	Bronze II	대표값	수학	2801	1.55
2622	https://www.acmicpc.net/problem/2622	Bronze II	삼각형만들기	수학	640	1.96
2745	https://www.acmicpc.net/problem/2745	Bronze II	진법 변환	수학	3555	1.76
2775	https://www.acmicpc.net/problem/2775	Bronze II	부녀회장이 될테야	수학	12495	1.74
2858	https://www.acmicpc.net/problem/2858	Bronze II	기숙사 바닥	수학	1359	1.77
2864	https://www.acmicpc.net/problem/2864	Bronze II	5와 6의 차이	수학	3652	1.37
2869	https://www.acmicpc.net/problem/2869	Bronze II	달팽이는 올라가고 싶다	수학	12848	3.84
3052	https://www.acmicpc.net/problem/3052	Bronze II	나머지	수학	19194	1.61
3062	https://www.acmicpc.net/problem/3062	Bronze II	수 뒤집기	수학	1366	1.93
3189	https://www.acmicpc.net/problem/3189	Bronze II	tomo	수학	12	2.67
